question,query
Who wrote jla/avengers?,SELECT DISTINCT var_uri where brack_open dbr_JLA/Avengers dbo_writer var_uri brack_close
Who wrote barack the barbarian?,SELECT DISTINCT var_uri where brack_open dbr_Barack_the_Barbarian dbo_writer var_uri brack_close
Who wrote the enclave?,SELECT DISTINCT var_uri where brack_open dbr_The_Enclave dbo_writer var_uri brack_close
Who wrote the cay?,SELECT DISTINCT var_uri where brack_open dbr_The_Cay_(film) dbo_writer var_uri brack_close
Who wrote akb0048?,SELECT DISTINCT var_uri where brack_open dbr_AKB0048 dbo_writer var_uri brack_close
Who wrote incorruptible?,SELECT DISTINCT var_uri where brack_open dbr_Incorruptible_(comics) dbo_writer var_uri brack_close
Who wrote gun sword?,SELECT DISTINCT var_uri where brack_open dbr_Gun_Sword dbo_writer var_uri brack_close
Who wrote strange girl?,SELECT DISTINCT var_uri where brack_open dbr_Strange_Girl_(comics) dbo_writer var_uri brack_close
Who wrote bruce lee?,SELECT DISTINCT var_uri where brack_open dbr_Bruce_Lee_(comics) dbo_writer var_uri brack_close
Who wrote mahōtsukai chappy?,SELECT DISTINCT var_uri where brack_open dbr_Mahōtsukai_Chappy dbo_writer var_uri brack_close
Who wrote die nibelungen?,SELECT DISTINCT var_uri where brack_open dbr_Die_Nibelungen dbo_writer var_uri brack_close
Who wrote nekopara?,SELECT DISTINCT var_uri where brack_open dbr_Nekopara dbo_writer var_uri brack_close
Who wrote lupin the third part ii?,SELECT DISTINCT var_uri where brack_open dbr_Lupin_the_Third_Part_II dbo_writer var_uri brack_close
Who wrote blood and thunder?,SELECT DISTINCT var_uri where brack_open dbr_Blood_and_Thunder_(comics) dbo_writer var_uri brack_close
Who wrote shaman's tears?,SELECT DISTINCT var_uri where brack_open dbr_Shaman's_Tears dbo_writer var_uri brack_close
Who wrote the filth?,SELECT DISTINCT var_uri where brack_open dbr_The_Filth_(comics) dbo_writer var_uri brack_close
Who wrote outcast by kirkman and azaceta?,SELECT DISTINCT var_uri where brack_open dbr_Outcast_by_Kirkman_and_Azaceta dbo_writer var_uri brack_close
Who wrote p'tit quinquin?,SELECT DISTINCT var_uri where brack_open dbr_P'tit_Quinquin_(film) dbo_writer var_uri brack_close
Who wrote batman: earth one?,SELECT DISTINCT var_uri where brack_open dbr_Batman:_Earth_One dbo_writer var_uri brack_close
Who wrote blue ribbon comics?,SELECT DISTINCT var_uri where brack_open dbr_Blue_Ribbon_Comics dbo_writer var_uri brack_close
Who wrote down the line?,SELECT DISTINCT var_uri where brack_open dbr_Down_the_Line_(radio_series) dbo_writer var_uri brack_close
Who wrote jughead?,SELECT DISTINCT var_uri where brack_open dbr_Jughead_(comic_book) dbo_writer var_uri brack_close
Who wrote idolmaster: xenoglossia?,SELECT DISTINCT var_uri where brack_open dbr_Idolmaster:_Xenoglossia dbo_writer var_uri brack_close
Who wrote the shield and the sword?,SELECT DISTINCT var_uri where brack_open dbr_The_Shield_and_the_Sword_(film) dbo_writer var_uri brack_close
Who wrote pandalian?,SELECT DISTINCT var_uri where brack_open dbr_Pandalian dbo_writer var_uri brack_close
Who wrote trouble?,SELECT DISTINCT var_uri where brack_open dbr_Trouble_(comics) dbo_writer var_uri brack_close
Who wrote tughlaq durbar?,SELECT DISTINCT var_uri where brack_open dbr_Tughlaq_Durbar dbo_writer var_uri brack_close
