question,query
Which other weapons did the designer of the <A> develop?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Weapon ; dbp_designer var_x sep_dot <A> dbp_designer var_x FILTER ( var_uri != <A> )  brack_close
Which state of the USA has the highest population density?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type yago:WikicatStatesOfTheUnitedStates ; dbp_densityrank var_rank  brack_close ORDER BY ASC(var_rank) LIMIT 1
Which monarchs were married to a <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Monarch ; dbo_spouse var_spouse brack_open  var_spouse dbo_birthPlace <A>  brack_close UNION brack_open  var_spouse dbo_birthPlace var_p sep_dot var_p dbo_country <A>  brack_close  brack_close
Which state of the United States of America has the highest density?,SELECT var_uri WHERE brack_open  var_uri dbp_densityrank var_density  brack_close ORDER BY ASC(var_density) LIMIT 1
Who is the daughter of <A> married to?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_child var_child sep_dot var_child dbp_spouse var_uri  brack_close
Show a list of soccer clubs that play in the <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_SoccerClub ; dbo_league <A>  brack_close
Give me the capitals of all countries that the <A> run through.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_country var_country sep_dot var_country dbo_capital var_uri  brack_close
Which country has the most official languages?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Country sep_dot var_uri dbp_officialLanguages var_language sep_dot  brack_close ORDER BY DESC(COUNT(var_language)) OFFSET 0 LIMIT 1
How heavy is <A>'s lightest moon?,SELECT DISTINCT var_n WHERE brack_open  var_uri dbp_satelliteOf <A> ; dbo_mass var_n  brack_close ORDER BY ASC(var_n) OFFSET 0 LIMIT 1
What form of government is found in South Africa?,SELECT var_uri WHERE brack_open  dbr:South_Africa dbo_governmentType var_uri  brack_close
Do Urdu and Persian have a common root?,ASK WHERE brack_open  dbr:Urdu dbo_languageFamily var_uri sep_dot dbr:Persian_language dbo_languageFamily var_uri  brack_close
Who is starring in Spanish movies produced by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_film rdf_type dbo_Film ; dbo_country dbr_Spain ; dbo_producer <A> ; dbo_starring var_uri sep_dot var_uri rdf_type dbo_Person  brack_close
Is <A> bigger than the <A>?,ASK WHERE brack_open  <A> dbo_areaTotal var_a1 sep_dot <A> dbo_areaTotal var_a2 FILTER ( var_a1  var_a2 )  brack_close
Show me all books in Asimov's <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_series <A>  brack_close
Where was <A> born?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_birthPlace var_uri  brack_close
Which city has the oldest running metro?,SELECT var_loc WHERE brack_open  var_uri dbo_type dbr:Rapid_transit ; dbo_openingYear var_date ; dbo_location var_loc sep_dot var_loc rdf_type dbo_City  brack_close ORDER BY ASC(var_date) LIMIT 1
Who designed the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_architect var_uri  brack_close
How many people live in <A>?,SELECT DISTINCT var_population WHERE brack_open  <A> dbo_populationTotal var_population  brack_close
Who is the host of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_presenter var_uri  brack_close
What is the total population of <A>?,SELECT var_uri WHERE brack_open  <A> dbo_populationTotal var_uri  brack_close
What country is <A> in?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_locatedInArea var_uri sep_dot var_uri rdf_type dbo_Country  brack_close
To which artistic movement did the painter of <A> belong?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_author var_person sep_dot var_person dbo_movement var_uri  brack_close
List all boardgames by GMT.,SELECT var_uri WHERE brack_open  var_uri dbo_publisher dbr_GMT_Games  brack_close
Who developed <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_developer var_uri  brack_close
Which people were born in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type onto:Person ; onto:birthPlace <A>  brack_close
Who is the mayor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_leaderName var_uri  brack_close
Which countries have places with more than two caves?,SELECT DISTINCT var_uri WHERE brack_open  var_cave rdf_type dbo_Cave ; dbo_location var_uri sep_dot var_uri rdf_type dbo_Country  brack_close GROUP BY var_uri HAVING ( COUNT(var_cave)  2 )
Where did <A> Lincoln die?,SELECT DISTINCT var_uri WHERE brack_open  <A>>_Lincoln dbo_deathPlace var_uri  brack_close
Which airports does <A> serve?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_targetAirport var_uri  brack_close
Give me all actors starring in movies directed by and starring <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_x dbo_director <A> ; dbo_starring <A> brack_open  var_x dbo_starring var_uri  brack_close UNION brack_open  var_x dbp_starring var_uri  brack_close  brack_close
Give me all <A> films.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_country <A>  brack_close
Give me the grandchildren of <A>.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_child var_child sep_dot var_child dbp_children var_uri  brack_close
Who is the owner of <A>?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Universal_Studios dbo_owner var_uri  brack_close brack_open  <A> dbo_parentCompany var_owner.  brack_close
Who discovered Pluto?,SELECT var_uri WHERE brack_open  dbr:Pluto dbo_discoverer var_uri  brack_close
Give me all actors starring in <A>.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_starring var_uri  brack_close
What was the last movie with Alec Guinness?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring dbr_Alec_Guinness ; dbo_releaseDate var_date  brack_close ORDER BY DESC(var_date) LIMIT 1
What was the first name of the band <A> of the Stone Age?,SELECT DISTINCT var_name WHERE brack_open  <A>>_of_the_Stone_Age dbo_alias var_name  brack_close
What was the first Queen album?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Album ; dbp_artist dbr_Queen_(band) ; dbo_releaseDate var_d.  brack_close ORDER BY ASC(var_d) OFFSET 0 LIMIT 1
Which museum in <A> has the most visitors?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Museum ; dbo_location <A> ; dbo_numberOfVisitors var_num  brack_close ORDER BY DESC(var_num) OFFSET 0 LIMIT 1
Which of <A>'s films had the highest budget?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_director <A> ; dbo_budget var_b  brack_close ORDER BY var_b OFFSET 0 LIMIT 1
In which countries do people speak <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Country ; dbo_language <A>  brack_close
Who is the founder of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_founder var_uri  brack_close
Who wrote the <A> of Thrones theme?,SELECT DISTINCT var_uri WHERE brack_open  <A>>_of_Thrones dbo_composer var_uri  brack_close
Who is the president of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_leaderName var_uri  brack_close
In which city did John F. <A> die?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathPlace var_uri sep_dot var_uri rdf_type dbo_City  brack_close
