question,query
List all the musicals with music by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Musical ; dbo_musicBy <A>  brack_close
How high is the lighthouse in <A>?,SELECT DISTINCT var_num WHERE brack_open  <A>>_Lighthouse dbo_height var_num  brack_close
Who was the wife of U.S. president <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_spouse var_uri  brack_close
Who is the host of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_presenter var_uri  brack_close
How much did <A> cost?,SELECT DISTINCT var_n WHERE brack_open  <A> dbo_budget var_n  brack_close
In what city is the Heineken brewery?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Heineken dbo_manufacturer var_x sep_dot var_x dbp_locationCity var_uri  brack_close
When did <A> commence?,SELECT DISTINCT var_d WHERE brack_open  <A> dbo_date var_d  brack_close
In which city does the <A> end?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_routeEnd var_uri  brack_close
Who developed Slack?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_product dbr_Slack_(software)  brack_close
Who was married to <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_spouse var_uri  brack_close
What did <A> die from?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathCause var_uri  brack_close
Which cities does the <A> flow through?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_subdivisionName var_uri  brack_close
Which books by Kerouac were published by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Book ; dbo_publisher <A> ; dbo_author dbr_Jack_Kerouac  brack_close
How tall is <A>?,SELECT DISTINCT var_height WHERE brack_open  <A> dbo_height var_height  brack_close
Who wrote the book Les Piliers de la terre?,SELECT DISTINCT var_uri WHERE brack_open  dbr_The_Pillars_of_the_Earth dbo_author var_uri  brack_close
Is <A> married?,ASK WHERE brack_open  <A> dbo_spouse var_uri  brack_close
Who discovered <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_discoverer var_uri  brack_close
Which river does the <A> cross?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_crosses var_uri  brack_close
What is the largest country in the world?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Country ; dbo_area var_n  brack_close ORDER BY DESC(var_n) OFFSET 0 LIMIT 1
Who is the mayor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_mayor var_uri  brack_close
Who is the coach of <A>'s ice hockey team?,SELECT DISTINCT var_uri WHERE brack_open  var_x dbo_city <A> ; dbo_league dbr_Turkish_Ice_Hockey_First_League ; dbo_coach var_uri  brack_close
Who is the mayor of the capital of French Polynesia?,SELECT DISTINCT var_uri WHERE brack_open  dbr_French_Polynesia dbp_capital var_x sep_dot var_x dbo_mayor var_uri  brack_close
Which awards did <A> win?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_award var_uri  brack_close
How much did the Lego Movie cost?,SELECT DISTINCT var_n WHERE brack_open  dbr_The_Lego_Movie dbo_budget var_n  brack_close
Do <A> and Prince William have the same parents?,"ASK WHERE brack_open  dbr_Prince_William,_Duke_of_Cambridge dbo_parent var_x sep_dot <A> dbo_parent var_x  brack_close"
How many languages are spoken in <A>?,SELECT (COUNT(DISTINCT var_x) AS var_c) WHERE brack_open  var_x dbo_spokenIn <A>  brack_close
In which films did <A> as well as <A> play?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring <A> ; dbo_starring <A>  brack_close
In which country does the Ganges start?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_river dbr_Ganges  brack_close
In which year was <A> born?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_birthYear var_uri  brack_close
Is <A> a democrat?,ASK WHERE brack_open  <A> dbo_party dbr_Democratic_Party_(United_States)  brack_close
Where was <A> born?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_birthPlace var_uri  brack_close
How often did <A> marry?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  <A> dbo_spouse var_uri  brack_close
Who was the first to climb <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_firstAscentPerson var_uri  brack_close
How many people live in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_populationTotal var_uri  brack_close
What is the location of the Houses of Parliament?,SELECT var_uri WHERE brack_open  dbr_Palace_of_Westminster dbo_location var_uri  brack_close
In which country is the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_country var_uri  brack_close
What was the last movie with Alec Guinness?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring dbr_Alec_Guinness ; dbo_releaseDate var_date  brack_close ORDER BY DESC(var_date) LIMIT 1
What is the highest mountain in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Mountain ; dbo_locatedInArea <A>>; dbo_elevation var_elevation  brack_close ORDER BY DESC(var_elevation) LIMIT 1
Is <A> still alive?,ASK WHERE brack_open  <A> dbo_deathDate var_date FILTER ( ! bound(var_date) )  brack_close
Who created <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_uri  brack_close
What is the official language of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_officialLanguage var_uri  brack_close
Who wrote the song <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_writer var_uri  brack_close
Give me all actors starring in movies directed by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_x dbo_director <A> sep_dot var_x dbo_starring var_uri  brack_close
What is in a <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_ingredient var_uri  brack_close
Which ingredients do I need for <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_ingredient var_uri  brack_close
Does <A> play for Real Madrid?,ASK WHERE brack_open  <A> dbo_team dbr_Real_Madrid_C.F.  brack_close
In which <A> city are the headquarters of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_headquarter var_uri sep_dot var_uri dbo_country <A>  brack_close
Was the <A> earlier than the <A> of Pigs Invasion?,ASK WHERE brack_open  <A> dbo_date var_x sep_dot <A>>_of_Pigs_Invasion dbo_date var_y FILTER ( var_x  var_y )  brack_close
What does IYCM stand for?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_abbreviation ""IYCM""  brack_close"
When did the <A> dissolve?,SELECT DISTINCT var_date WHERE brack_open  <A> dbp_yearEnd var_date  brack_close
What is the total population of <A>?,SELECT var_uri WHERE brack_open  <A> dbo_populationTotal var_uri  brack_close
