"Text", "Query"
How many movies did <A> direct?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbo_director <A>  sep_dot brack_close
Which city's foundeer is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_founder <A>  sep_dot var_uri rdf_type dbo_City brack_close
What is the river whose mouth is in <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_riverMouth <A>  sep_dot var_uri rdf_type dbo_River brack_close
What is the allegiance of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_allegiance var_uri brack_close 
How many races have the horses bred by Jacques Van't Hart participated in?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_breeder dbr_Jacques_Van't_Hart sep_dot var_x dbp_race var_uri  sep_dot brack_close
"What is the incumbent of the Al Gore presidential campaign, 2000 and also the president of the <A> ?"," SELECT DISTINCT var_uri WHERE brack_open dbr_Al_Gore_presidential_campaign,_2000 dbo_incumbent var_uri sep_dot <A> dbo_president var_uri brack_close"
What is the region of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_region var_uri brack_close 
What layout can be found in cars similar to the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_related <A> sep_dot var_x dbo_layout var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close
Starwood operates in which places?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_operator dbr_Starwood_Hotels_and_Resorts_Worldwide sep_dot var_x dbp_address var_uri  sep_dot brack_close
Name the mascot of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_mascot var_uri brack_close 
What was the university of the rugby player who coached the Stanford rugby teams during 1906-1917?,SELECT DISTINCT var_uri WHERE brack_open dbr_1906–17_Stanford_rugby_teams dbp_headcoach var_x sep_dot var_x dbo_university var_uri  sep_dot brack_close
How many people live in <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbp_residence <A>  sep_dot brack_close
What awards did the film director of The Haunted House win ?,SELECT DISTINCT var_uri WHERE brack_open dbr_The_Haunted_House_(1929_film) dbo_director var_x sep_dot var_x dbo_award var_uri  sep_dot brack_close
Name the origin of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_origin var_uri brack_close 
List the things for which people of <A> are famous for?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_placeOfBirth <A> sep_dot var_x dbp_knownFor var_uri  sep_dot var_x rdf_type dbo_Person brack_close
What sports are played in schools in the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_region <A> sep_dot var_x dbo_sport var_uri  sep_dot var_x rdf_type dbo_School brack_close
"What company brought <A> to the market, and developed the batch monitor?", SELECT DISTINCT var_uri WHERE brack_open dbr_Batch_Monitor dbp_developer var_uri sep_dot <A>_feat._The_Black_Eyed_Peas dbp_distributor var_uri brack_close
In which part of the world can i find <A> and Mavro?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_origin var_uri sep_dot dbr_Mavro dbo_origin var_uri sep_dot brack_close
which awards have been given to people who fought in the <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_battle <A> sep_dot var_x dbo_award var_uri  sep_dot var_x rdf_type dbo_Person brack_close
Name the resting place of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_restingplace var_uri brack_close 
Who built the stadium which was rented for the <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_tenant <A> sep_dot var_x dbo_builder var_uri  sep_dot var_x rdf_type dbo_Stadium brack_close
Who was the silver medalist of <A> at the 2008 Summer Olympics  Women's artistic individual all-around ?, SELECT DISTINCT var_uri WHERE brack_open <A>_–_Women's_artistic_individual_all-around dbo_silverMedalist var_uri brack_close 
what are some common surnames of <A> people?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_gender <A> brack_close 
Which company owns the manufacturer of the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_products <A> sep_dot var_x dbp_parent var_uri  sep_dot brack_close
List the total number of board members who share board with <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_board <A> sep_dot var_x dbo_board var_uri brack_close
"Who is the leader of <A> House of Representatives elections, 1788 and 1789 ?"," SELECT DISTINCT var_uri WHERE brack_open <A>_House_of_Representatives_elections,_1788_and_1789 dbp_leader var_uri brack_close "
<A> and the Notebook of Trigorin is written by what author?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_writer var_uri sep_dot dbr_The_Notebook_of_Trigorin dbo_author var_uri sep_dot brack_close
Name the mountain whose range is <A> and parent mountain peak is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_mountainRange <A> sep_dot var_uri dbo_parentMountainPeak <A>  sep_dot var_uri rdf_type dbo_Mountain brack_close
Where did the  designer of <A> to Salavat Yulaev die?,SELECT DISTINCT var_uri WHERE brack_open <A>_to_Salavat_Yulaev dbo_designer var_x sep_dot var_x dbp_placeOfDeath var_uri  sep_dot brack_close
How many mammals are in the <A> phylum?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbp_phylum <A>  sep_dot var_uri rdf_type dbo_Mammal brack_close
List the battles fought by <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_battles var_uri brack_close 
Which genre of books are published by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_publisher <A> sep_dot var_x dbp_subject var_uri  sep_dot var_x rdf_type dbo_Book brack_close
"Which famous political figure appointed <A>, and also founded <A>>", SELECT DISTINCT var_uri WHERE brack_open <A> dbo_founder var_uri sep_dot <A> dbo_appointer var_uri brack_close
Which newspapers are owned by companies which are under <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_keyPerson <A> sep_dot var_uri dbp_owners var_x  sep_dot var_uri rdf_type dbo_Newspaper brack_close
Which series has an episode called The lost special and also a character named <A> ?, SELECT DISTINCT var_uri WHERE brack_open dbr_The_Lost_Special dbp_series var_uri sep_dot <A>_(play) dbp_characters var_uri brack_close
What are some <A> based models known for?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_placeOfBirth <A> sep_dot var_x dbp_knownFor var_uri  sep_dot var_x rdf_type dbo_Model brack_close
List the common official language of the <A> and Empire of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_officialLanguage var_uri sep_dot <A> dbo_officialLanguage var_uri sep_dot brack_close
What are the prizes won by the animator of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_animator var_x sep_dot var_x dbo_award var_uri  sep_dot brack_close
Which office holder's constituency is <A> and has military unit as USS Kittiwake ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_constituency <A> sep_dot var_uri dbo_militaryUnit dbr_USS_Kittiwake_(ASR-13)  sep_dot var_uri rdf_type dbo_OfficeHolder brack_close
What is the region of the ethnic group which speaks the language of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_language var_x sep_dot var_x dbp_region var_uri  sep_dot var_x rdf_type dbo_EthnicGroup brack_close
What is the religion of the member of parliament who is a relative of <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_relation <A> sep_dot var_x dbo_religion var_uri  sep_dot var_x rdf_type dbo_MemberOfParliament brack_close
What organisation regulates and controls the <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_tenant var_uri brack_close 
Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C sep_dot season <A>-10, SELECT DISTINCT var_uri WHERE brack_open dbr_2000–01_Aston_Villa_F.C._season dbp_name var_uri sep_dot <A>–10_Middlesbrough_F.C._season dbo_manager var_uri brack_close
Was <A> discovered by <A>?,ASK WHERE brack_open <A> dbp_discoverer <A> brack_close
Name the F1 racer with relative as <A> and has child named <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_relatives <A> sep_dot var_uri dbo_child <A>  sep_dot var_uri rdf_type dbo_FormulaOneRacer brack_close
Does the <A> have the front engine design platform?,ASK WHERE brack_open <A> dbo_automobilePlatform dbr_Front-engine_design  sep_dot brack_close
What are some other products of the banks which makes <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_product <A> sep_dot var_x dbp_products var_uri  sep_dot var_x rdf_type dbo_Bank brack_close
What is the occupation of the <A> and <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_occupation var_uri sep_dot <A> dbo_occupation var_uri sep_dot brack_close
Who produces the trains operated by the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_operator <A> sep_dot var_x dbo_manufacturer var_uri  sep_dot var_x rdf_type dbo_Train brack_close
Name the TV show with distributor as <A> and has theme music composed by Primus ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_distributor <A> sep_dot var_uri dbp_themeMusicComposer dbr_Primus_(band)  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
In which countries can i find some <A> writers?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_movement <A> sep_dot var_x dbo_nationality var_uri  sep_dot var_x rdf_type dbo_Writer brack_close
"In which teams did anyone who played as a <A>, play previously?",SELECT DISTINCT var_uri WHERE brack_open var_x dbp_position <A> sep_dot var_x dbo_formerTeam var_uri  sep_dot brack_close
What are the other band member of the Bands whose current members is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_currentMembers <A> sep_dot var_x dbo_bandMember var_uri  sep_dot var_x rdf_type dbo_Band brack_close
Which line of the <A> is the route end of Mumbai Vadodara Expressway ?, SELECT DISTINCT var_uri WHERE brack_open dbr_Mumbai_Vadodara_Expressway dbo_routeEnd var_uri sep_dot <A> dbp_line var_uri brack_close
Who authored the works published in the <A> Magazine?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_magazine <A> sep_dot var_x dbp_author var_uri  sep_dot brack_close
How many things are aired on <A> HD?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbo_network <A>_HD  sep_dot brack_close
Which work of <A> is close to the area of The Chess Monthyl ?, SELECT DISTINCT var_uri WHERE brack_open dbr_The_Chess_Monthly dbp_discipline var_uri sep_dot <A> dbo_occupation var_uri brack_close
Where does the successor of <A> reside?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_successor var_x sep_dot var_x dbo_location var_uri  sep_dot brack_close
What is the location city of the <A> which is also  place of birth of the William C sep_dot Cramer ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_locationCity var_uri sep_dot dbr_William_C._Cramer dbp_placeOfBirth var_uri brack_close
Was <A> a character of <A> Tonight?,ASK WHERE brack_open <A>_Tonight dbp_characters <A> brack_close
List <A> whose order (taxonomy) is <A> and domain is Bacteria?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_order <A> sep_dot var_uri dbp_domain <A>  sep_dot var_uri rdf_type dbo_Bacteria brack_close
What is the place of the <A> (play) which is also the  official residence of the <A>?, SELECT DISTINCT var_uri WHERE brack_open <A>_(play) dbp_place var_uri sep_dot <A> dbp_residence var_uri brack_close 
What are some characters of series produced by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_executiveProducer <A> sep_dot var_uri dbo_series var_x  sep_dot brack_close
